loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,verification_status,annual_inc,loan_status,purpose,dti,pub_rec_bankruptcies,issue_year,issue_month
8400,60,16.77,D,D2,5 years,RENT,Not Verified,87996.0,Fully Paid,major_purchase,11.35,0.0,2011,12
28000,60,17.58,D,D4,5 years,MORTGAGE,Verified,140000.0,Fully Paid,home_improvement,12.07,0.0,2011,12
14000,36,6.62,A,A2,10+ years,RENT,Source Verified,66000.0,Fully Paid,debt_consolidation,11.15,0.0,2011,12
12000,36,14.27,C,C2,8 years,MORTGAGE,Not Verified,70000.0,Charged Off,other,8.4,0.0,2011,12
25000,36,11.71,B,B3,10+ years,MORTGAGE,Verified,100000.0,Fully Paid,debt_consolidation,6.88,0.0,2011,12
9000,36,12.69,B,B5,5 years,RENT,Source Verified,50000.0,Fully Paid,debt_consolidation,17.81,0.0,2011,12
13250,36,10.65,B,B2,4 years,RENT,Not Verified,35000.0,Fully Paid,debt_consolidation,24.93,0.0,2011,12
20000,36,13.49,C,C1,6 years,RENT,Verified,75000.0,Fully Paid,debt_consolidation,22.38,0.0,2011,12
3000,36,14.65,C,C3,5 years,RENT,Verified,71000.0,Fully Paid,medical,21.84,0.0,2011,12
7350,36,10.65,B,B2,10+ years,MORTGAGE,Not Verified,48000.0,Fully Paid,debt_consolidation,11.93,0.0,2011,12
11500,36,15.27,C,C4,5 years,RENT,Not Verified,36000.0,Fully Paid,debt_consolidation,21.1,0.0,2011,12
13650,36,12.42,B,B4,10+ years,MORTGAGE,Not Verified,86000.0,Charged Off,debt_consolidation,12.29,0.0,2011,12
10500,36,16.29,D,D1,3 years,RENT,Source Verified,30000.0,Charged Off,debt_consolidation,15.0,0.0,2011,12
12000,36,9.91,B,B1,2 years,RENT,Not Verified,60000.0,Fully Paid,debt_consolidation,15.5,0.0,2011,12
6000,36,8.9,A,A5,3 years,RENT,Not Verified,34000.0,Fully Paid,credit_card,14.51,0.0,2011,12
11500,36,15.27,C,C4,10+ years,MORTGAGE,Verified,44200.0,Fully Paid,credit_card,21.69,0.0,2011,12
7000,36,12.42,B,B4,7 years,MORTGAGE,Not Verified,82000.0,Fully Paid,debt_consolidation,12.0,0.0,2011,12
29500,60,20.3,E,E5,6 years,MORTGAGE,Source Verified,83000.0,Fully Paid,debt_consolidation,20.93,0.0,2011,12
2000,36,15.27,C,C4,2 years,RENT,Verified,41000.0,Fully Paid,moving,17.74,0.0,2011,12
11625,36,13.49,C,C1,< 1 year,MORTGAGE,Source Verified,36000.0,Fully Paid,credit_card,19.33,0.0,2011,12
15075,36,14.27,C,C2,10+ years,RENT,Verified,35000.0,Charged Off,debt_consolidation,20.16,0.0,2011,12
5300,36,15.27,C,C4,1 year,RENT,Verified,30000.0,Fully Paid,credit_card,24.88,0.0,2011,12
8200,36,6.62,A,A2,< 1 year,RENT,Source Verified,40000.0,Fully Paid,home_improvement,11.1,0.0,2011,12
12000,36,12.42,B,B4,9 years,MORTGAGE,Not Verified,105000.0,Fully Paid,credit_card,13.98,0.0,2011,12
8650,36,14.27,C,C2,4 years,MORTGAGE,Source Verified,45000.0,Fully Paid,credit_card,7.6,0.0,2011,12
12000,36,12.42,B,B4,2 years,RENT,Not Verified,83000.0,Fully Paid,debt_consolidation,11.81,0.0,2011,12
9500,36,12.69,B,B5,< 1 year,MORTGAGE,Source Verified,52500.0,Charged Off,moving,23.54,0.0,2011,12
7400,36,13.49,C,C1,< 1 year,OWN,Source Verified,25000.0,Fully Paid,debt_consolidation,8.45,0.0,2011,12
14400,36,13.49,C,C1,10+ years,MORTGAGE,Not Verified,60000.0,Fully Paid,debt_consolidation,16.92,0.0,2011,12
24250,60,23.91,G,G4,7 years,MORTGAGE,Verified,120000.0,Fully Paid,debt_consolidation,12.96,0.0,2011,12
7200,36,7.9,A,A4,3 years,RENT,Source Verified,68000.0,Charged Off,debt_consolidation,7.98,0.0,2011,12
26000,60,16.77,D,D2,10+ years,MORTGAGE,Verified,53000.0,Charged Off,home_improvement,11.77,0.0,2011,12
7000,60,11.71,B,B3,6 years,MORTGAGE,Verified,69600.0,Charged Off,credit_card,26.22,0.0,2011,12
4000,36,7.51,A,A3,< 1 year,RENT,Source Verified,65000.0,Fully Paid,major_purchase,18.17,0.0,2011,12
1500,36,17.27,D,D3,10+ years,MORTGAGE,Verified,144000.0,Fully Paid,debt_consolidation,8.23,0.0,2011,12
19600,36,12.42,B,B4,2 years,RENT,Verified,75000.0,Fully Paid,credit_card,11.62,0.0,2011,12
2500,36,11.71,B,B3,7 years,MORTGAGE,Verified,29000.0,Fully Paid,debt_consolidation,18.7,0.0,2011,12
10000,36,12.69,B,B5,2 years,RENT,Not Verified,70000.0,Charged Off,credit_card,2.69,0.0,2011,12
10000,36,6.62,A,A2,5 years,RENT,Not Verified,45000.0,Fully Paid,credit_card,26.85,0.0,2011,12
4225,36,12.42,B,B4,5 years,MORTGAGE,Not Verified,55200.0,Fully Paid,other,17.61,0.0,2011,12
3500,36,7.9,A,A4,7 years,MORTGAGE,Not Verified,61440.0,Fully Paid,vacation,6.46,0.0,2011,12
12000,36,6.62,A,A2,10+ years,MORTGAGE,Not Verified,56000.0,Fully Paid,debt_consolidation,13.65,0.0,2011,12
16500,36,8.9,A,A5,< 1 year,RENT,Source Verified,47000.0,Fully Paid,debt_consolidation,9.06,0.0,2011,12
22000,60,21.67,F,F3,< 1 year,RENT,Verified,55000.0,Fully Paid,debt_consolidation,15.62,0.0,2011,12
12000,36,14.65,C,C3,1 year,RENT,Verified,71000.0,Fully Paid,credit_card,14.87,0.0,2011,12
15600,60,12.69,B,B5,10+ years,RENT,Source Verified,50000.0,Charged Off,vacation,5.78,0.0,2011,12
10800,36,12.42,B,B4,8 years,RENT,Verified,135000.0,Fully Paid,credit_card,12.12,0.0,2011,12
